,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
2323,2323,610,Leicester City,Premier League,Nampalys Mendy,24,Defensive Midfield,13.95,2016,After2016,OGC Nice,Ligue 1,M,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,France,83.0,71.0,5.4776,196.0,1.0,75to84,65to74,below5.5,150to300,below20,EU
2324,2324,8,Manchester United,Premier League,Paul Pogba,23,Central Midfield,94.5,2016,After2016,Juventus FC,Serie A,M,Tier_1,Tier_1,U25,Under23,Above80M,Above60M,France,91.0,84.0,6.2648,127.0,28.0,85above,75to84,6to6.5,50to150,20to50,EU
2331,2331,295,FC Barcelona,Primera Division,Samuel Umtiti,22,Centre Back,22.5,2016,After2016,Olympique Lyon,Ligue 1,D,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,France,85.0,77.0,5.9696,152.0,3.0,85above,75to84,6to6.5,150to300,below20,EU
2332,2332,1172,Sevilla FC,Primera Division,Wissam Ben Yedder,25,Centre Forward,8.55,2016,After2016,FC Toulouse,Ligue 1,F,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,France,80.0,77.0,5.5760000000000005,199.0,86.0,75to84,75to84,5.5to6,150to300,50to100,EU
2333,2333,91,AS Monaco,Ligue 1,Wissam Ben Yedder,29,Centre Forward,36.0,2019,After2016,Sevilla FC,Primera Division,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,France,82.0,81.0,5.5760000000000005,290.0,124.0,75to84,75to84,5.5to6,150to300,100above,EU
2338,2338,631,Borussia Dortmund,1 Bundesliga,Ousmane Dembélé,19,Left Winger,13.5,2016,After2016,Stade Rennais FC,Ligue 1,F,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,France,78.12781955,70.90105720000001,5.8384,48.0,25.0,75to84,65to74,5.5to6,below50,20to50,EU
2339,2339,5,FC Barcelona,Primera Division,Ousmane Dembélé,20,Left Winger,112.5,2017,After2016,Borussia Dortmund,1 Bundesliga,F,Tier_1,Tier_1,U21,Under23,Above80M,Above60M,France,91.0,70.90105720000001,5.8384,80.0,31.0,85above,65to74,5.5to6,50to150,20to50,EU
2345,2345,135,FC Barcelona,Primera Division,Clément Lenglet,23,Centre Back,32.31,2018,After2016,Sevilla FC,Primera Division,D,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,France,88.0,75.0,6.1008,162.0,12.0,85above,75to84,6to6.5,150to300,below20,EU
2347,2347,1721,AFC Bournemouth,Premier League,Lys Mousset,20,Centre Forward,5.85,2016,After2016,AC Le Havre,Ligue 1,F,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,France,74.0,58.0,6.0352,91.0,28.0,65to74,below65,6to6.5,50to150,20to50,EU
2348,2348,956,Sheffield United,Premier League,Lys Mousset,23,Centre Forward,9.99,2019,After2016,AFC Bournemouth,Premier League,F,Tier_3,Tier_2,U25,Under23,10Mto5M,20Mto5M,France,75.0,69.0,6.0352,149.0,31.0,75to84,65to74,6to6.5,50to150,20to50,EU
2351,2351,575,RB Leipzig,1 Bundesliga,Nordi Mukiele,20,Right Back,14.4,2018,After2016,HSC Montpellier,Ligue 1,D,Tier_2,Tier_3,U21,Under23,40Mto10M,20Mto5M,France,86.0,69.0,6.1336,108.0,3.0,85above,65to74,6to6.5,50to150,below20,EU
2357,2357,1057,1.FSV Mainz 05,1 Bundesliga,Jean-Philippe Mateta,21,Centre Forward,9.0,2018,After2016,Olympique Lyon,Ligue 1,F,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,France,82.0,62.0,6.2976,56.0,25.0,75to84,below65,6to6.5,50to150,20to50,EU
2358,2358,1218,Stade Rennais FC,Ligue 1,Flavien Tait,26,Left Winger,8.1,2019,After2016,SCO Angers,Ligue 1,F,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,France,79.0,71.0,5.74,161.0,21.0,75to84,65to74,5.5to6,150to300,20to50,EU
2359,2359,972,Olympique Lyon,Ligue 1,Martin Terrier,20,Left Winger,9.9,2017,After2016,LOSC Lille,Ligue 1,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,France,74.0,70.90105720000001,6.0352,29.0,6.0,65to74,65to74,6to6.5,below50,below20,EU
2361,2361,319,Real Madrid,Primera Division,Theo Hernández,19,Left Back,21.6,2017,After2016,Atlético Madrid,Primera Division,D,Tier_1,Tier_1,U21,Under23,40Mto10M,60Mto20M,France,88.0,60.0,6.0352,9.0,0.0,85above,below65,6to6.5,below50,below20,EU
2362,2362,448,AC Milan,Serie A,Theo Hernández,21,Left Back,18.0,2019,After2016,Real Madrid,Primera Division,D,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,85.0,75.0,6.0352,54.0,1.0,85above,75to84,6to6.5,50to150,below20,EU
2363,2363,379,Bayern Munich,1 Bundesliga,Kingsley Coman,21,Left Winger,18.9,2017,After2016,Juventus FC,Serie A,F,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,87.0,78.0,5.8712,34.0,0.0,85above,75to84,5.5to6,below50,below20,EU
2364,2364,52,Arsenal FC,Premier League,Alexandre Lacazette,26,Centre Forward,47.7,2017,After2016,Olympique Lyon,Ligue 1,F,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,France,88.0,83.0,5.74,215.0,106.0,85above,75to84,5.5to6,150to300,100above,EU
2365,2365,81,Bayern Munich,1 Bundesliga,Corentin Tolisso,22,Central Midfield,37.35,2017,After2016,Olympique Lyon,Ligue 1,M,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,France,88.0,76.0,5.904,146.0,22.0,85above,75to84,6to6.5,50to150,20to50,EU
2367,2367,573,RB Leipzig,1 Bundesliga,Jean-Kévin Augustin,20,Centre Forward,14.4,2017,After2016,Paris Saint-Germain,Ligue 1,F,Tier_2,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,81.0,69.0,5.8056,38.0,22.0,75to84,65to74,5.5to6,below50,20to50,EU
2373,2373,1075,AS Saint-Étienne,Ligue 1,Loïs Diony,24,Centre Forward,9.0,2017,After2016,FCO Dijon,Ligue 1,F,Tier_2,Tier_3,U25,Under30,10Mto5M,20Mto5M,France,77.0,66.0,6.0024,121.0,35.0,75to84,65to74,6to6.5,50to150,20to50,EU
2375,2375,735,Valencia CF,Primera Division,Francis Coquelin,26,Defensive Midfield,12.6,2017,After2016,Arsenal FC,Premier League,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,France,80.0,79.0,5.8384,136.1753754,20.22582583,75to84,75to84,5.5to6,50to150,20to50,EU
2377,2377,756,AS Monaco,Ligue 1,Benjamin Lecomte,28,Goalkeeper,12.15,2019,After2016,HSC Montpellier,Ligue 1,GK,Tier_1,Tier_3,U30,Under30,40Mto10M,20Mto5M,France,85.0,80.0,6.1008,247.0,0.0,85above,75to84,6to6.5,150to300,below20,EU
2379,2379,235,Borussia Dortmund,1 Bundesliga,Abdou Diallo,22,Centre Back,25.2,2018,After2016,1.FSV Mainz 05,1 Bundesliga,D,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,France,85.0,69.0,6.1008,70.0,5.0,85above,65to74,6to6.5,50to150,below20,EU
2380,2380,171,Paris Saint-Germain,Ligue 1,Abdou Diallo,23,Centre Back,28.8,2019,After2016,Borussia Dortmund,1 Bundesliga,D,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,France,86.0,76.0,6.1008,98.0,6.0,85above,75to84,6to6.5,50to150,below20,EU
2381,2381,1376,Olympique Marseille,Ligue 1,Valère Germain,27,Centre Forward,7.2,2017,After2016,AS Monaco,Ligue 1,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,France,81.0,78.0,5.9368,190.0,55.0,75to84,75to84,6to6.5,150to300,50to100,EU
2383,2383,1384,FC Toulouse,Ligue 1,Wesley Saïd,24,Right Winger,7.2,2019,After2016,FCO Dijon,Ligue 1,F,Tier_3,Tier_3,U25,Under30,10Mto5M,20Mto5M,France,80.0,69.0,5.6088,160.0,32.0,75to84,65to74,5.5to6,150to300,20to50,EU
2384,2384,1072,AS Monaco,Ligue 1,Adama Diakhaby,21,Centre Forward,9.0,2017,After2016,Stade Rennais FC,Ligue 1,F,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,France,78.0,70.90105720000001,6.0352,33.0,3.0,75to84,65to74,6to6.5,below50,below20,EU
2385,2385,1099,Huddersfield Town,Premier League,Adama Diakhaby,22,Centre Forward,9.0,2018,After2016,AS Monaco,Ligue 1,F,Tier_3,Tier_1,U25,Under23,10Mto5M,20Mto5M,France,80.0,66.0,6.0352,80.0,9.0,75to84,65to74,6to6.5,50to150,below20,EU
2386,2386,1806,OGC Nice,Ligue 1,Jean-Victor Makengo,19,Central Midfield,5.4,2017,After2016,SM Caen,Ligue 1,M,Tier_2,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,81.0,60.0,5.8056,18.0,6.0,75to84,below65,5.5to6,below50,below20,EU
2387,2387,1356,FC Schalke 04,1 Bundesliga,Amine Harit,20,Attacking Midfield,7.2,2017,After2016,FC Nantes,Ligue 1,M,Tier_2,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,83.0,62.0,5.8712,45.0,1.0,75to84,below65,5.5to6,below50,below20,EU
2393,2393,33,Manchester City,Premier League,Aymeric Laporte,23,Centre Back,58.5,2017,After2016,Wigan Athletic,Premier League,D,Tier_1,Tier_3,U25,Under23,80Mto40M,60Mto20M,France,88.0,83.0,6.2648,136.1753754,20.22582583,85above,75to84,6to6.5,50to150,20to50,EU
2394,2394,1594,Stade Rennais FC,Ligue 1,Faitout Maouassa,18,Left Back,6.3,2017,After2016,AS Nancy-Lorraine,Ligue 1,D,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,France,78.0,60.0,5.5760000000000005,35.0,10.0,75to84,below65,5.5to6,below50,below20,EU
2398,2398,59,Real Madrid,Primera Division,Ferland Mendy,24,Left Back,43.2,2019,After2016,Olympique Lyon,Ligue 1,D,Tier_1,Tier_1,U25,Under30,80Mto40M,60Mto20M,France,86.0,75.0,5.904,160.0,5.0,85above,75to84,6to6.5,150to300,below20,EU
2399,2399,1378,Stade Rennais FC,Ligue 1,Rafik Guitane,18,Attacking Midfield,7.2,2017,After2016,AC Le Havre,Ligue 1,M,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,France,76.0,70.90105720000001,5.5760000000000005,18.0,0.0,75to84,65to74,5.5to6,below50,below20,EU
2401,2401,1204,Borussia Mönchengladbach,1 Bundesliga,Marcus Thuram,21,Centre Forward,8.1,2019,After2016,EA Guingamp,Ligue 1,F,Tier_2,Tier_4,U21,Under23,10Mto5M,20Mto5M,France,83.0,70.0,6.2976,139.0,19.0,75to84,65to74,6to6.5,50to150,below20,EU
2405,2405,1535,Inter Milan,Serie A,Andrew Gravillon,20,Centre Back,6.75,2018,After2016,Delfino Pescara 1936,Serie A,D,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,77.0,70.90105720000001,6.1664,2.0,0.0,75to84,65to74,6to6.5,below50,below20,EU
2407,2407,974,AS Monaco,Ligue 1,Fodé Ballo-Touré,22,Left Back,9.9,2018,After2016,LOSC Lille,Ligue 1,D,Tier_1,Tier_2,U25,Under23,10Mto5M,20Mto5M,France,78.12781955,70.90105720000001,5.8056,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,EU
2410,2410,1078,OGC Nice,Ligue 1,Myziane Maolida,19,Centre Forward,9.0,2018,After2016,Olympique Lyon,Ligue 1,F,Tier_2,Tier_1,U21,Under23,10Mto5M,20Mto5M,France,85.0,62.0,5.9368,25.0,13.0,85above,below65,6to6.5,below50,below20,EU
2411,2411,410,AS Monaco,Ligue 1,Willem Geubbels,16,Left Winger,18.0,2018,After2016,Olympique Lyon,Ligue 1,F,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,78.12781955,70.90105720000001,6.1336,12.0,6.0,75to84,65to74,6to6.5,below50,below20,EU
2412,2412,675,Valencia CF,Primera Division,Mouctar Diakhaby,21,Centre Back,13.5,2018,After2016,Olympique Lyon,Ligue 1,D,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,83.0,75.0,6.2976,55.0,11.0,75to84,75to84,6to6.5,50to150,below20,EU
2416,2416,1322,ACF Fiorentina,Serie A,Alban Lafont,19,Goalkeeper,7.65,2018,After2016,FC Toulouse,Ligue 1,GK,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,89.0,77.0,6.3304,98.0,0.0,85above,75to84,6to6.5,50to150,below20,EU
2417,2417,286,West Ham United,Premier League,Issa Diop,21,Centre Back,22.5,2018,After2016,FC Toulouse,Ligue 1,D,Tier_1,Tier_3,U21,Under23,40Mto10M,60Mto20M,France,86.0,76.0,6.3632,92.0,6.0,85above,75to84,6to6.5,50to150,below20,EU
2420,2420,1780,1.FSV Mainz 05,1 Bundesliga,Moussa Niakhaté,22,Centre Back,5.4,2018,After2016,FC Metz,Ligue 1,D,Tier_2,Tier_4,U25,Under23,10Mto5M,20Mto5M,France,80.0,63.0,6.232,140.0,1.0,75to84,below65,6to6.5,50to150,below20,EU
2422,2422,349,Olympique Lyon,Ligue 1,Moussa Dembélé,22,Centre Forward,19.8,2018,After2016,Celtic,Other,F,Tier_1,Tier_4,U25,Under23,40Mto10M,20Mto5M,France,78.12781955,70.90105720000001,6.0024,111.0,41.0,75to84,65to74,6to6.5,50to150,20to50,EU
2423,2423,1399,Arsenal FC,Premier League,Mattéo Guendouzi,19,Central Midfield,7.2,2018,After2016,FC Lorient,Ligue 1,M,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,79.0,58.0,6.068,50.0,0.0,75to84,below65,6to6.5,50to150,below20,EU
2424,2424,3,Paris Saint-Germain,Ligue 1,Kylian Mbappé,19,Centre Forward,121.5,2018,After2016,AS Monaco,Ligue 1,F,Tier_1,Tier_1,U21,Under23,Above80M,Above60M,France,94.0,79.0,5.8384,53.0,20.0,85above,75to84,5.5to6,50to150,20to50,EU
2425,2425,1807,AS Monaco,Ligue 1,Ronaël Pierre-Gabriel,20,Right Back,5.4,2018,After2016,AS Saint-Étienne,Ligue 1,D,Tier_1,Tier_2,U21,Under23,10Mto5M,20Mto5M,France,81.0,62.0,5.8056,49.0,0.0,75to84,below65,5.5to6,below50,below20,EU
2430,2430,276,Olympique Lyon,Ligue 1,Jeff Reine-Adélaïde,21,Central Midfield,22.5,2019,After2016,SCO Angers,Ligue 1,M,Tier_1,Tier_3,U21,Under23,40Mto10M,60Mto20M,France,84.0,70.90105720000001,6.0024,53.0,4.0,75to84,65to74,6to6.5,50to150,below20,EU
2431,2431,1740,Inter Milan,Serie A,Yann Karamoh,19,Right Winger,5.85,2018,After2016,SM Caen,Ligue 1,F,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,85.0,70.0,6.068,136.1753754,20.22582583,85above,65to74,6to6.5,50to150,20to50,EU
2436,2436,1418,Spartak Moscow,Other,Samuel Gigot,24,Centre Back,7.2,2018,After2016,KAA Gent,Other,D,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,France,79.0,72.0,6.1336,117.0,5.0,75to84,65to74,6to6.5,50to150,below20,EU
2438,2438,1379,Olympique Lyon,Ligue 1,Tanguy Ndombélé,21,Central Midfield,7.2,2018,After2016,SC Amiens,Ligue 1,M,Tier_1,Tier_3,U21,Under23,10Mto5M,20Mto5M,France,78.12781955,70.90105720000001,5.9368,55.0,3.0,75to84,65to74,6to6.5,50to150,below20,EU
2439,2439,44,Tottenham Hotspur,Premier League,Tanguy Ndombélé,22,Central Midfield,54.0,2019,After2016,Olympique Lyon,Ligue 1,M,Tier_1,Tier_1,U25,Under23,80Mto40M,60Mto20M,France,78.12781955,70.90105720000001,5.9368,121.0,4.0,75to84,65to74,6to6.5,50to150,below20,EU
2449,2449,1216,Stade Rennais FC,Ligue 1,Jordan Siebatcheu,22,Centre Forward,8.1,2018,After2016,Stade Reims,Ligue 1,F,Tier_2,Tier_3,U25,Under23,10Mto5M,20Mto5M,France,78.12781955,70.90105720000001,6.232,87.0,24.0,75to84,65to74,6to6.5,50to150,20to50,EU
2451,2451,142,Bayern Munich,1 Bundesliga,Benjamin Pavard,23,Centre Back,31.5,2019,After2016,VfB Stuttgart,1 Bundesliga,D,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,France,85.0,77.0,6.1008,125.0,3.0,85above,75to84,6to6.5,50to150,below20,EU
2454,2454,19,Bayern Munich,1 Bundesliga,Lucas Hernández,23,Centre Back,72.0,2019,After2016,Atlético Madrid,Primera Division,D,Tier_1,Tier_1,U25,Under23,80Mto40M,Above60M,France,89.0,79.0,5.9696,88.0,2.0,85above,75to84,6to6.5,50to150,below20,EU
2455,2455,1382,AS Monaco,Ligue 1,Ruben Aguilar,26,Right Back,7.2,2019,After2016,HSC Montpellier,Ligue 1,D,Tier_1,Tier_3,U30,Under30,10Mto5M,20Mto5M,France,81.0,70.90105720000001,5.6416,196.0,2.0,75to84,65to74,5.5to6,150to300,below20,EU
2457,2457,450,Real Betis Balompié,Primera Division,Nabil Fekir,26,Attacking Midfield,17.78,2019,After2016,Olympique Lyon,Ligue 1,M,Tier_2,Tier_1,U30,Under30,40Mto10M,20Mto5M,France,87.0,84.0,5.6744,208.0,67.0,85above,75to84,5.5to6,150to300,50to100,EU
2458,2458,781,RB Leipzig,1 Bundesliga,Christopher Nkunku,21,Central Midfield,11.7,2019,After2016,Paris Saint-Germain,Ligue 1,M,Tier_2,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,85.0,74.0,5.8384,82.0,13.0,85above,65to74,5.5to6,50to150,below20,EU
2459,2459,636,Bayer 04 Leverkusen,1 Bundesliga,Moussa Diaby,19,Left Winger,13.5,2019,After2016,Paris Saint-Germain,Ligue 1,F,Tier_1,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,85.0,56.0,5.5760000000000005,39.0,4.0,85above,below65,5.5to6,below50,below20,EU
2460,2460,824,OGC Nice,Ligue 1,Stanley Nsoki,20,Left Back,11.25,2019,After2016,Paris Saint-Germain,Ligue 1,D,Tier_2,Tier_1,U21,Under23,40Mto10M,20Mto5M,France,82.0,58.0,5.8384,13.0,0.0,75to84,below65,5.5to6,below50,below20,EU
2461,2461,1081,AS Monaco,Ligue 1,Arthur Zagre,17,Left Back,9.0,2019,After2016,Paris Saint-Germain,Ligue 1,D,Tier_1,Tier_1,U21,Under23,10Mto5M,20Mto5M,France,84.0,70.90105720000001,5.5104,27.0,1.0,75to84,65to74,5.5to6,below50,below20,EU
2463,2463,856,Bayern Munich,1 Bundesliga,Mickaël Cuisance,20,Central Midfield,10.8,2019,After2016,Borussia Mönchengladbach,1 Bundesliga,M,Tier_1,Tier_2,U21,Under23,40Mto10M,20Mto5M,France,85.0,70.0,5.9368,38.0,1.0,85above,65to74,6to6.5,below50,below20,EU
2464,2464,298,Sevilla FC,Primera Division,Jules Koundé,20,Centre Back,22.5,2019,After2016,FC Girondins Bordeaux,Ligue 1,D,Tier_1,Tier_2,U21,Under23,40Mto10M,60Mto20M,France,87.0,71.0,5.9368,85.0,3.0,85above,65to74,6to6.5,50to150,below20,EU
2467,2467,787,OGC Nice,Ligue 1,Alexis Claude-Maurice,21,Left Winger,11.7,2019,After2016,FC Lorient,Ligue 1,F,Tier_2,Tier_3,U21,Under23,40Mto10M,20Mto5M,France,78.12781955,70.90105720000001,5.7072,104.0,31.0,75to84,65to74,5.5to6,50to150,20to50,EU
2470,2470,208,Arsenal FC,Premier League,William Saliba,18,Centre Back,27.0,2019,After2016,AS Saint-Étienne,Ligue 1,D,Tier_1,Tier_2,U21,Under23,40Mto10M,60Mto20M,France,88.0,70.90105720000001,6.2976,19.0,0.0,85above,65to74,6to6.5,below50,below20,EU
2471,2471,1596,LOSC Lille,Ligue 1,Benjamin André,28,Central Midfield,6.3,2019,After2016,Stade Rennais FC,Ligue 1,M,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,France,77.0,77.0,5.904,341.0,19.0,75to84,75to84,6to6.5,300above,below20,EU
2474,2474,786,Olympique Marseille,Ligue 1,Valentin Rongier,24,Central Midfield,11.7,2019,After2016,FC Nantes,Ligue 1,M,Tier_1,Tier_3,U25,Under30,40Mto10M,20Mto5M,France,85.0,78.0,5.6416,158.0,10.0,85above,75to84,5.5to6,150to300,below20,EU
2475,2475,1383,FC Nantes,Ligue 1,Ludovic Blas,21,Central Midfield,7.2,2019,After2016,EA Guingamp,Ligue 1,M,Tier_3,Tier_4,U21,Under23,10Mto5M,20Mto5M,France,86.0,74.0,5.904,142.0,10.0,85above,65to74,6to6.5,50to150,below20,EU
2485,2485,1159,HSC Montpellier,Ligue 1,Téji Savanier,27,Central Midfield,8.55,2019,After2016,Nîmes Olympique,Ligue 1,M,Tier_3,Tier_4,U30,Under30,10Mto5M,20Mto5M,France,79.0,72.0,5.6088,258.0,35.0,75to84,65to74,5.5to6,150to300,20to50,EU
2492,2492,777,Borussia Dortmund,1 Bundesliga,Pierre-Emerick Aubameyang,24,Centre Forward,11.7,2013,Before2016,AS Saint-Étienne,Ligue 1,F,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,Gabon,83.0,75.0,6.1336,154.0,49.0,75to84,75to84,6to6.5,150to300,20to50,AF
2493,2493,38,Arsenal FC,Premier League,Pierre-Emerick Aubameyang,28,Centre Forward,57.38,2017,After2016,Borussia Dortmund,1 Bundesliga,F,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,Gabon,87.0,84.0,6.1336,136.1753754,20.22582583,85above,75to84,6to6.5,50to150,20to50,AF
2494,2494,1146,Juventus FC,Serie A,Mario Lemina,22,Defensive Midfield,8.82,2016,After2016,Olympique Marseille,Ligue 1,M,Tier_1,Tier_1,U25,Under23,10Mto5M,20Mto5M,Gabon,82.0,73.0,6.0352,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,AF
2495,2495,529,Southampton FC,Premier League,Mario Lemina,23,Defensive Midfield,15.53,2017,After2016,Juventus FC,Serie A,M,Tier_1,Tier_1,U25,Under23,40Mto10M,20Mto5M,Gabon,83.0,76.0,6.0352,84.0,5.0,75to84,75to84,6to6.5,50to150,below20,AF
2497,2497,421,Sunderland AFC,Premier League,Didier Ndong,22,Central Midfield,18.0,2016,After2016,FC Lorient,Ligue 1,M,Tier_2,Tier_3,U25,Under23,40Mto10M,20Mto5M,Gabon,80.0,61.0,5.8712,88.0,4.0,75to84,below65,5.5to6,50to150,below20,AF
2503,2503,1657,AS Roma,Serie A,Iago Falque,26,Right Winger,6.3,2015,Before2016,Genoa CFC,Serie A,F,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Galicia,78.12781955,70.90105720000001,5.7072,120.0,29.0,75to84,65to74,5.5to6,50to150,20to50,EU
2504,2504,1887,Torino FC,Serie A,Iago Falque,27,Right Winger,5.4,2016,After2016,AS Roma,Serie A,F,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Galicia,78.12781955,70.90105720000001,5.7072,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,EU
2508,2508,1763,TSG 1899 Hoffenheim,1 Bundesliga,Joselu,22,Centre Forward,5.4,2012,Before2016,RM Castilla,Other,F,Tier_2,Tier_4,U25,Under23,10Mto5M,20Mto5M,Galicia,78.12781955,70.90105720000001,6.2976,95.0,43.0,75to84,65to74,6to6.5,50to150,20to50,EU
2510,2510,1397,Stoke City,Premier League,Joselu,25,Centre Forward,7.2,2015,Before2016,Hannover 96,1 Bundesliga,F,Tier_2,Tier_3,U25,Under30,10Mto5M,20Mto5M,Galicia,78.12781955,70.90105720000001,6.2976,199.0,70.0,75to84,65to74,6to6.5,150to300,50to100,EU
2517,2517,1463,UC Sampdoria,Serie A,Omar Colley,25,Centre Back,7.2,2018,After2016,KRC Genk,Other,D,Tier_2,Tier_4,U25,Under30,10Mto5M,20Mto5M,Gambia,78.0,74.0,6.2648,187.0,14.0,75to84,65to74,6to6.5,150to300,below20,AF
2533,2533,1046,1. FC Köln,1 Bundesliga,Lukas Podolski,24,Second Striker,9.0,2009,Before2016,Bayern Munich,1 Bundesliga,F,Tier_3,Tier_1,U25,Under30,10Mto5M,20Mto5M,Germany,90.0,83.0,5.904,154.0,61.0,85above,75to84,6to6.5,150to300,50to100,EU
2534,2534,649,Arsenal FC,Premier League,Lukas Podolski,27,Second Striker,13.5,2012,Before2016,1. FC Köln,1 Bundesliga,F,Tier_1,Tier_3,U30,Under30,40Mto10M,20Mto5M,Germany,85.0,81.0,5.904,244.0,94.0,85above,75to84,6to6.5,150to300,50to100,EU
2536,2536,141,Bayern Munich,1 Bundesliga,Mats Hummels,27,Centre Back,31.5,2016,After2016,Borussia Dortmund,1 Bundesliga,D,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Germany,87.0,86.0,6.2976,293.0,25.0,85above,85above,6to6.5,150to300,20to50,EU
2537,2537,186,Borussia Dortmund,1 Bundesliga,Mats Hummels,30,Centre Back,27.45,2019,After2016,Bayern Munich,1 Bundesliga,D,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Germany,88.0,90.0,6.2976,367.0,28.0,85above,85above,6to6.5,300above,20to50,EU
2539,2539,191,Bayern Munich,1 Bundesliga,Mario Gómez,23,Centre Forward,27.0,2009,Before2016,VfB Stuttgart,1 Bundesliga,F,Tier_1,Tier_2,U25,Under23,40Mto10M,60Mto20M,Germany,78.12781955,70.90105720000001,6.1992,164.0,84.0,75to84,65to74,6to6.5,150to300,50to100,EU
2540,2540,616,ACF Fiorentina,Serie A,Mario Gómez,28,Centre Forward,13.95,2013,Before2016,Bayern Munich,1 Bundesliga,F,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Germany,78.12781955,70.90105720000001,6.1992,279.0,159.0,75to84,65to74,6to6.5,150to300,100above,EU
2547,2547,1929,Genoa CFC,Serie A,Kevin-Prince Boateng,23,Centre Forward,5.13,2010,Before2016,Portsmouth FC,Premier League,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,Germany,84.0,74.0,6.1008,117.0,12.0,75to84,65to74,6to6.5,50to150,below20,EU
2548,2548,1760,ACF Fiorentina,Serie A,Savio Nsereko,20,Right Winger,5.58,2009,Before2016,West Ham United,Premier League,F,Tier_1,Tier_1,U21,Under23,10Mto5M,20Mto5M,Germany,68.0,63.0,5.7728,22.0,3.0,65to74,below65,5.5to6,below50,below20,EU
2552,2552,821,Bayer 04 Leverkusen,1 Bundesliga,Sven Bender,28,Centre Back,11.25,2017,After2016,Borussia Dortmund,1 Bundesliga,D,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Germany,82.0,82.0,6.1008,248.0,8.0,75to84,75to84,6to6.5,150to300,below20,EU
2554,2554,1338,SV Werder Bremen,1 Bundesliga,Marko Marin,20,Attacking Midfield,7.38,2009,Before2016,Borussia Mönchengladbach,1 Bundesliga,M,Tier_2,Tier_2,U21,Under23,10Mto5M,20Mto5M,Germany,89.0,67.0,5.5760000000000005,84.0,11.0,85above,65to74,5.5to6,50to150,below20,EU
