,Unnamed: 0,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,nationality,pot_fifa,ovr_fifa,height,overall_app,overall_gls,potential_fifa,overall_fifa,new_height,appearances,goals,N
86,86,965,SL Benfica,Other,Eduardo Salvio,22,Right Winger,9.9,2012,Before2016,Atlético Madrid,Primera Division,F,Tier_1,Tier_1,U25,Under23,10Mto5M,20Mto5M,Argentina,85.0,74.0,5.6416,85.0,16.0,85above,65to74,5.5to6,50to150,below20,SA
88,88,397,SS Lazio,Serie A,Mauro Zárate,22,Second Striker,18.18,2009,Before2016,Al Sadd,Other,F,Tier_2,Tier_4,U25,Under23,40Mto10M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.7728,105.0,32.0,75to84,65to74,5.5to6,50to150,20to50,SA
95,95,1534,AC Milan,Serie A,José Sosa,31,Central Midfield,6.75,2016,After2016,Besiktas,Other,M,Tier_1,Tier_4,A30,Above30,10Mto5M,20Mto5M,Argentina,80.0,78.0,6.0024,356.0,47.0,75to84,75to84,6to6.5,300above,20to50,SA
96,96,429,FC Barcelona,Primera Division,Javier Mascherano,26,Defensive Midfield,18.0,2010,Before2016,Liverpool FC,Premier League,M,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Argentina,88.0,85.0,5.7072,162.0,1.0,85above,85above,5.5to6,150to300,below20,SA
97,97,166,Real Madrid,Primera Division,Ángel Di María,22,Right Winger,29.7,2010,Before2016,SL Benfica,Other,F,Tier_1,Tier_1,U25,Under23,40Mto10M,60Mto20M,Argentina,87.0,70.90105720000001,5.904,111.0,13.0,85above,65to74,6to6.5,50to150,below20,SA
98,98,23,Manchester United,Premier League,Ángel Di María,26,Right Winger,67.5,2014,Before2016,Real Madrid,Primera Division,F,Tier_1,Tier_1,U30,Under30,80Mto40M,Above60M,Argentina,88.0,86.0,5.904,235.0,35.0,85above,85above,6to6.5,150to300,20to50,SA
99,99,40,Paris Saint-Germain,Ligue 1,Ángel Di María,27,Right Winger,56.7,2015,Before2016,Manchester United,Premier League,F,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,Argentina,85.0,86.0,5.904,262.0,38.0,85above,85above,6to6.5,150to300,20to50,SA
103,103,417,Manchester United,Premier League,Marcos Rojo,24,Centre Back,18.0,2014,Before2016,Sporting CP,Other,D,Tier_1,Tier_2,U25,Under30,40Mto10M,20Mto5M,Argentina,82.0,74.0,6.1336,100.0,8.0,75to84,65to74,6to6.5,50to150,below20,SA
107,107,1729,Valencia CF,Primera Division,Tino Costa,25,Central Midfield,5.85,2010,Before2016,HSC Montpellier,Ligue 1,M,Tier_1,Tier_3,U25,Under30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.7728,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,SA
108,108,1726,Spartak Moscow,Other,Tino Costa,28,Central Midfield,5.85,2013,Before2016,Valencia CF,Ligue 1,M,Tier_2,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.7728,136.1753754,20.22582583,75to84,65to74,5.5to6,50to150,20to50,SA
114,114,1769,FC Schalke 04,1 Bundesliga,Franco Di Santo,26,Centre Forward,5.4,2015,Before2016,SV Werder Bremen,1 Bundesliga,F,Tier_2,Tier_2,U30,Under30,10Mto5M,20Mto5M,Argentina,80.0,73.0,6.3317120000000005,232.0,45.0,75to84,65to74,6to6.5,150to300,20to50,SA
115,115,1443,AS Roma,Serie A,Nicolás Burdisso,29,Centre Back,7.2,2010,Before2016,Inter Milan,Serie A,D,Tier_1,Tier_1,U30,Under30,10Mto5M,20Mto5M,Argentina,81.0,70.90105720000001,6.0024,136.1753754,20.22582583,75to84,65to74,6to6.5,50to150,20to50,SA
116,116,1102,Spartak Moscow,Other,Nicolás Pareja,26,Centre Back,9.0,2010,Before2016,RCD Espanyol Barcelona,Primera Division,D,Tier_2,Tier_3,U30,Under30,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.9368,148.0,5.0,75to84,65to74,6to6.5,50to150,below20,SA
124,124,1324,SL Benfica,Other,Nico Gaitán,22,Left Winger,7.56,2010,Before2016,Boca Juniors,Other,F,Tier_1,Tier_4,U25,Under23,10Mto5M,20Mto5M,Argentina,78.12781955,70.90105720000001,5.7072,66.0,12.0,75to84,65to74,5.5to6,50to150,below20,SA
125,125,296,Atlético Madrid,Primera Division,Nico Gaitán,28,Left Winger,22.5,2016,After2016,SL Benfica,Other,F,Tier_1,Tier_1,U30,Under30,40Mto10M,60Mto20M,Argentina,78.12781955,70.90105720000001,5.7072,218.0,37.0,75to84,65to74,5.5to6,150to300,20to50,SA
127,127,901,Valencia CF,Primera Division,Nicolás Otamendi,26,Centre Back,10.8,2014,Before2016,FC Porto,Other,D,Tier_1,Tier_1,U30,Under30,40Mto10M,20Mto5M,Argentina,83.0,80.0,6.0024,117.0,8.0,75to84,75to84,6to6.5,50to150,below20,SA
128,128,71,Manchester City,Premier League,Nicolás Otamendi,27,Centre Back,40.14,2015,Before2016,Valencia CF,Ligue 1,D,Tier_1,Tier_1,U30,Under30,80Mto40M,60Mto20M,Argentina,86.0,79.0,6.0024,152.0,14.0,85above,75to84,6to6.5,150to300,below20,SA
