Beds,Baths,Rent,neighbourhood,latitude,longitude,Type,Zest,ROI,Neigh,BPB,latlng
2,2,199.0,Santa Clara,37.40207,-121.94981000000001,Townhouse,1445382.0,-0.9755104172586205,Neigh_North,4,-4561.175330106701
3,3,300.0,Palo Alto,37.410509999999995,-122.12133999999999,Townhouse,2249234.0,-0.9762754728103903,Neigh_North,6,-4568.621611283399
2,2,215.0,Palo Alto,37.4064,-122.11628999999999,Condominium,3246269.0,-0.9882194679126602,Neigh_North,4,-4567.930790255999
2,2,105.0,San Jose,37.384890000000006,-121.86027,Condominium,513336.0,-0.9636169981920649,Neigh_South,4,-4555.732789320301
2,2,230.0,Palo Alto,37.43115,-122.14313999999999,Condominium,2930261.0,-0.9860384870910558,Neigh_North,4,-4571.958194811
2,1,350.0,Saratoga,37.25713,-122.03643000000001,Condominium,998888.0,-0.9376750125603734,Neigh_South,3,-4546.7271372459
1,1,130.0,Sunnyvale,37.35244,-122.00813000000001,Condominium,434000.0,-0.9467199561094984,Neigh_North,2,-4557.3013553372
1,1,139.0,San Jose,37.39999,-121.88438000000001,Condominium,485174.0,-0.9490401393229201,Neigh_South,2,-4558.4745931562
1,2,148.0,Palo Alto,37.31114,-121.93858,Condominium,505220.0,-0.9478934724678252,Neigh_North,3,-4549.667429781201
1,1,106.0,Milpitas,37.41534,-121.90391000000001,Condominium,516264.0,-0.9634788054302177,Neigh_North,2,-4561.0762399794
2,1,119.0,San Jose,37.31118,-121.87992,Condominium,567000.0,-0.9626685504440532,Neigh_South,3,-4547.4836335056
3,2,169.0,San Jose,37.28714,-121.84223999999999,Townhouse,594907.0,-0.9494700839576252,Neigh_South,5,-4543.148660793599
3,3,184.0,Milpitas,37.408,-121.90024,Condominium,609886.0,-0.946336362168568,Neigh_North,6,-4560.04417792
2,2,120.0,Milpitas,37.4237,-121.91208,Townhouse,619152.0,-0.9655257428296802,Neigh_North,4,-4562.401108296
1,1,149.0,San Jose,37.34106,-121.89367,Condominium,652924.0,-0.9594085479824584,Neigh_South,2,-4551.6388450901995
1,1,175.0,Sunnyvale,37.35067,-122.01555,Condominium,660429.0,-0.9528672407983344,Neigh_North,2,-4557.3625429185
2,2,225.0,San Jose,37.322540000000004,-121.94765,Condominium,672898.0,-0.9405236605078392,Neigh_South,4,-4551.3960450310005
2,2,195.0,San Jose,37.3752,-121.85887,Townhouse,693348.0,-0.949974170874198,Neigh_South,4,-4554.499638024
3,2,183.0,San Jose,37.413000000000004,-121.86188999999999,Condominium,702484.0,-0.9536632463584014,Neigh_South,5,-4559.21889057
2,2,250.0,Santa Clara,37.34391,-121.98096000000001,Condominium,718935.0,-0.9381469196464277,Neigh_North,4,-4555.2459919536
2,2,200.0,San Jose,37.40194,-121.92018999999999,Condominium,735330.0,-0.9516208022803415,Neigh_South,4,-4560.0516311686
2,2,168.0,Santa Clara,37.34437,-121.98284,Condominium,738659.0,-0.9595446242640718,Neigh_North,4,-4555.3723106108
1,1,95.0,Mountain View,37.40109,-122.0701,Condominium,748008.0,-0.9774093714998793,Neigh_North,2,-4565.554796409
2,2,125.0,San Jose,37.31984,-121.91103000000001,Condominium,768984.0,-0.9710863006746593,Neigh_South,4,-4549.7001338352
2,2,175.0,Milpitas,37.42204,-121.90696000000001,Condominium,776825.0,-0.9599294036278482,Neigh_North,4,-4562.007133398401
2,2,158.0,San Jose,37.28175,-121.86038,Condominium,787630.0,-0.9643182793789404,Neigh_South,4,-4543.168222065001
1,1,80.0,Mountain View,37.40378,-122.10274,Condominium,803045.0,-0.9822801086070163,Neigh_North,2,-4567.1040243572
3,2,173.0,San Jose,37.36244,-121.88968,Condominium,861402.0,-0.9642767322664623,Neigh_South,5,-4554.0958556192
3,2,184.0,San Jose,37.29492,-121.84505,Condominium,862548.0,-0.9620557911878982,Neigh_South,5,-4544.201392145999
2,2,320.0,Campbell,37.2848,-121.93805,Townhouse,875000.0,-0.9349491648746122,Neigh_South,4,-4546.43580664
3,2,177.0,Milpitas,37.4193,-121.90292,Condominium,900647.0,-0.9650433657344233,Neigh_North,5,-4561.521934356
3,2,180.0,San Jose,37.367059999999995,-121.86513000000001,Condominium,928395.0,-0.9655133774812695,Neigh_South,5,-4553.7416246178
2,2,350.0,Santa Clara,37.39431,-121.95022,Condominium,941532.0,-0.933878315284458,Neigh_North,4,-4560.2443312482
2,2,299.0,San Jose,37.333709999999996,-121.90813999999999,Condominium,946238.0,-0.9437941196490749,Neigh_South,4,-4551.2831453993995
3,3,174.0,San Jose,37.29841,-121.86738000000001,Condominium,949748.0,-0.9674124424063006,Neigh_South,6,-4545.4595048658
2,2,200.0,San Jose,37.32136,-121.9115,Condominium,985674.0,-0.9639082744810186,Neigh_South,4,-4549.90297964
2,2,189.0,Mountain View,37.39889,-122.06512,Townhouse,992850.0,-0.9661398314861857,Neigh_North,4,-4565.0999957168
3,2,269.0,San Jose,37.37557,-121.87527,Townhouse,1000609.0,-0.9521811831668322,Neigh_South,5,-4555.1576851539
3,2,197.0,San Jose,37.32334,-121.90295,Condominium,1001942.0,-0.9650268625057055,Neigh_South,5,-4549.825249853
3,2,177.0,San Jose,37.2962,-121.84565,Condominium,1015325.0,-0.9689916157078877,Neigh_South,5,-4544.37973153
2,2,250.0,Mountain View,37.41182,-122.09357,Condominium,1021476.0,-0.9564665794164566,Neigh_North,4,-4567.7426639974
2,1,161.0,Mountain View,37.396,-122.06516,Condominium,1021807.0,-0.9719735588573447,Neigh_North,3,-4564.74872336
2,2,185.0,Mountain View,37.40017,-122.10535,Condominium,1023821.0,-0.9678590546592063,Neigh_North,4,-4566.760847909501
2,2,200.0,San Jose,37.33475,-121.89414,Condominium,1044181.0,-0.9659305470419436,Neigh_South,4,-4550.887243364999
3,2,249.0,Milpitas,37.409290000000006,-121.89582,Townhouse,1051419.0,-0.9578755273143252,Neigh_North,5,-4560.036080167801
