,arrival_league,year,origin_league,grouping_position,arrival_club_tier,origin_club_tier,age,transfer_price,potential_fifa,overall_fifa,new_height,appearances,goals,N
322,Premier League,After2016,1 Bundesliga,M,Tier_1,Tier_1,Under30,40Mto10M,85above,75to84,5.5to6,150to300,100above,AS
323,Premier League,After2016,Premier League,M,Tier_1,Tier_1,Under30,40Mto10M,85above,85above,5.5to6,50to150,20to50,AS
337,Primera Division,Before2016,Other,GK,Tier_1,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,150to300,below20,OC
338,Premier League,After2016,Ligue 1,GK,Tier_2,Tier_1,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,OC
342,Premier League,After2016,Premier League,M,Tier_3,Tier_1,Under30,10Mto5M,75to84,75to84,5.5to6,50to150,20to50,OC
350,Other,Before2016,Other,F,Tier_3,Tier_4,Under30,10Mto5M,75to84,65to74,6to6.5,50to150,50to100,EU
355,1 Bundesliga,Before2016,Other,F,Tier_2,Tier_3,Under23,10Mto5M,75to84,65to74,6to6.5,below50,below20,EU
357,Premier League,After2016,Premier League,F,Tier_1,Tier_2,Under30,40Mto10M,75to84,65to74,6to6.5,150to300,20to50,EU
376,Premier League,Before2016,1 Bundesliga,D,Tier_1,Tier_3,Under23,10Mto5M,75to84,65to74,6to6.5,50to150,below20,EU
377,Premier League,After2016,Premier League,D,Tier_2,Tier_1,Under30,40Mto10M,75to84,75to84,6to6.5,50to150,below20,EU
383,1 Bundesliga,After2016,Other,D,Tier_3,Tier_4,Under23,10Mto5M,75to84,65to74,6to6.5,150to300,below20,EU
384,1 Bundesliga,After2016,1 Bundesliga,D,Tier_2,Tier_3,Under30,10Mto5M,75to84,75to84,6to6.5,150to300,below20,EU
386,1 Bundesliga,After2016,Other,D,Tier_1,Tier_4,Under30,40Mto10M,75to84,65to74,6to6.5,150to300,below20,EU
387,1 Bundesliga,After2016,Other,M,Tier_2,Tier_4,Under23,10Mto5M,75to84,below65,5.5to6,50to150,below20,EU
388,Other,After2016,Other,D,Tier_2,Tier_4,Under23,10Mto5M,75to84,below65,6to6.5,below50,below20,EU
