,roi,Zestimate,bedrooms,beds,accommodates,amenities_score,publicSchoolScores,closenessToDowntown,price,minimum_nights_avg_ntm,bathrooms,bikeScore,walkScore,transitScore,property_type,neighbourhood,street
142,"(9.92724,1270.48]","(544583,870941]","[0,1]","(1,2]","(3,5]","(33,52]","(3.70142,5.27273]","(2400.33,4704.33]","(199,5555]","[1,2]",1.0,2,5,3,Apartment,Charlestown,Cross Street
143,"(9.92724,1270.48]","[165887,544583]","(1,2]","(1,2]","(3,5]","(33,52]","[2.75,3.47373]","(4704.33,19715]","(135,199]","(28,353]",1.0,2,5,4,Apartment,Dorchester,Argyle Street
144,"(9.92724,1270.48]","[165887,544583]","[0,1]","(1,2]","(3,5]","[12,30]","(3.70142,5.27273]","(4704.33,19715]","[60,135]","(28,353]",1.0,2,4,4,Apartment,Brighton,Kilsyth Road
145,"(-12.0209,9.92724]","(544583,870941]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,3,5,3,Apartment,South Boston,West Third Street
146,"(-12.0209,9.92724]","[165887,544583]","(1,2]","(1,2]","(3,5]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",2.0,2,5,3,Apartment,South Boston,West Third Street
147,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(33,52]","(3.47373,3.70142]","(4704.33,19715]","[60,135]","[1,2]",1.0,1,3,2,Apartment,West Roxbury,Cowing Street
148,"(9.92724,1270.48]","[165887,544583]","[0,1]","[0,1]","[2,3]","[12,30]","(3.70142,5.27273]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Beacon Hill,Pinckney Street
149,"[-38.1201,-12.0209]","(544583,870941]","(1,2]","(2,8]","(3,5]","(33,52]","[2.75,3.47373]","(4704.33,19715]","[60,135]","(2,28]",1.0,2,4,4,Apartment,Dorchester,Centre Street
150,"[-38.1201,-12.0209]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","(3.70142,5.27273]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,2,4,3,Apartment,Charlestown,Bunker Hill Street
151,"(-12.0209,9.92724]","(544583,870941]","[0,1]","(1,2]","[2,3]","[12,30]","[2.75,3.47373]","[898,2400.33]","(135,199]","(2,28]",1.0,3,5,5,Apartment,Chinatown,Tyler Street
152,"(-12.0209,9.92724]","[165887,544583]","[0,1]","[0,1]","[2,3]","(30,33]","[2.75,3.47373]","(2400.33,4704.33]","[60,135]","(28,353]",1.0,3,5,3,Apartment,South Boston,West Third Street
