player_name,height,nationality
Vincent Janssen,1.83,Netherlands
Yoann Gourcuff,1.86,France
Moussa Dembélé,1.83,France
Thiago Mendes,1.76,
Ramires,1.8,Brazil
James Milner,1.75,England
Guido Carrillo,1.88,
Diogo Dalot,1.84,Portugal
Ricardo Pereira,1.75,Portugal
Bruno Alves,1.87,Portugal
Mario Mandzukic,1.9,Croatia
Aymen Abdennour,1.88,Tunisia
Kieran Trippier,1.73,England
Giovani Lo Celso,1.77,Argentina
Antonio Candreva,1.8,Italy
Roberto Gagliardini,1.88,Italy
Nikola Kalinic,1.87,Croatia
Valentino Lazaro,1.8,Austria
Luca Pellegrini,1.78,Italy
Alex Meret,1.9,Italy
Neal Maupay,1.73,France
Adam Webster,1.905,England
Manuel Akanji,1.86,Switzerland
Darren Bent,1.8,England
Luis Muriel,1.79,Colombia
Mariano Díaz,1.8,Dominican Republic
Hakan Calhanoglu,1.78,Turkey
Roque Santa Cruz,1.93,Paraguay
Dominic Solanke,1.87,England
Caglar Söyüncü,1.86,Turkey
Kingsley Coman,1.79,France
Raphinha,1.76,
Yuri Zhirkov,1.8,Russia
Dennis Praet,1.81,Belgium
Dalbert,1.82,
Amadou Diawara,1.85,Guinea
Bryan Cristante,1.87,Italy
Pietro Pellegri,1.88,Italy
Kasper Dolberg,1.87,Denmark
Glen Johnson,1.82,England
Jonny Otto,1.75,Spain
Andre Gray,1.778,England C
Calum Chambers,1.82,England
Javi García,1.87,Spain
Lucas Digne,1.78,France
Mauro Zárate,1.76,Argentina
Kevin Volland,1.79,Germany
Niklas Süle,1.95,Germany
Kevin Kampl,1.78,Slovenia
Maximilian Philipp,1.8,Germany
Thomas Delaney,1.82,Denmark
Dodi Lukebakio,1.87,Belgium
Óliver Torres,1.74,Spain
Raúl de Tomás,1.78,Spain
Benjamin Henrichs,1.83,Germany
Willem Geubbels,1.87,France
Alberto Aquilani,1.86,Italy
Jesús Navas,1.7,Spain
Danny Welbeck,1.85,England
Filipe Luís,1.82,Brazil
Marcos Rojo,1.87,Argentina
Abdul Rahman Baba,1.79,Ghana
Lucas Pérez,1.8,Galicia
Didier Ndong,1.79,Gabon
Emerson,1.84,Brazil
Terence Kongolo,1.88,Netherlands
Adama Traoré,1.78,Spain
Leandro Trossard,1.72,Belgium
Carlos Eduardo,1.72,Brazil
Javier Mascherano,1.74,Argentina
Jérémy Mathieu,1.89,France
Luciano Vietto,1.74,Argentina
William Carvalho,1.87,Portugal
Quincy Promes,1.74,Netherlands
Gerard Moreno,1.8,Catalonia
Felipe,1.87,Brazil
Renan Lodi,1.73,Brazil
Samuel Eto'o,1.8,Cameroon
Andrea Bertolacci,1.79,Italy
Nikola Maksimovic,1.93,Serbia
Rolando Mandragora,1.83,Italy
Matteo Politano,1.71,Italy
Emil Audero,1.92,Italy
Nabil Fekir,1.73,France
Ahmed Musa,1.73,Nigeria
Kevin Wimmer,1.87,Austria
Phil Jones,1.8,England
Lucas Biglia,1.78,Argentina
Oliver McBurnie,1.88,Scotland
Nabil Bentaleb,1.87,Algeria
Amadou Haidara,1.76,Mali
Lucho González,1.85,Argentina
Duje Caleta-Car,1.92,Croatia
Joe Allen,1.6764,Great Britain
Mousa Dembélé,1.85,Belgium
Alireza Jahanbakhsh,1.8,Iran
Balázs Dzsudzsák,1.79,Hungary
Aleksandr Kokorin,1.83,Russia
Alex Song,1.85,Cameroon
Thomas Vermaelen,1.83,Belgium
Ivan Perisic,1.86,Croatia
Antonio Valencia,1.8034,Ecuador
Kolo Touré,1.78,Ivory Coast
Sofiane Boufal,1.7,Morocco
Ciro Immobile,1.85,Italy
Andrea Ranocchia,1.95,Italy
Florian Thauvin,1.79,France
Pedro Neto,1.72,Portugal
Joaquín Correa,1.88,Argentina
Aleksandar Dragovic,1.86,Austria
Ademola Lookman,1.74,England
Michel Bastos,1.79,Brazil
Guillermo Maripán,1.93,Chile
Pablo Sarabia,1.77,Spain
Ashley Young,1.75,England
Jordan Henderson,1.82,England
Alberto Moreno,1.71,Spain
Matteo Darmian,1.82,Italy
Claudio Bravo,1.84,Chile
Nolito,1.75,Spain
Borja Bastón,1.91,Spain
Jordon Ibe,1.76,England
Mohamed Elyounoussi,1.78,Norway
Rui Patrício,1.9,Portugal
Patrick Cutrone,1.83,Italy
Allan Saint-Maximin,1.73,France
Arnaut Danjuma,1.78,Netherlands
Lacina Traoré,2.03,Ivory Coast
José Salomón Rondón,1.86,Venezuela
Guus Til,1.86,Netherlands
Ivan Rakitic,1.84,Croatia
Karl Toko Ekambi,1.83,Cameroon
Júnior Firpo,1.84,Spain
Fabio Quagliarella,1.8,Italy
Robinho,1.72,Brazil
Giampaolo Pazzini,1.82,Italy
Gökhan Inler,1.83,Switzerland
Kwadwo Asamoah,1.73,Ghana
Hernanes,1.8,Brazil
Simone Zaza,1.86,Italy
