player_name,height,nationality
Alexander Gerndt,1.85,Sweden
Pablo Barrera,1.74,Mexico
Jean Beausejour,1.78,Chile
Muhamed Besic,1.8,Bosnia and Herzegovina
Sam Byram,1.8288,
Ante Palaversa,1.87,Croatia
Rodrigo de Paul,1.78,Argentina
Federico Peluso,1.88,Italy
Jasmin Kurtic,1.86,Slovenia
Robert Lewandowski,1.84,Poland
Bart Ramselaar,1.78,Netherlands
Talisca,1.91,Brazil
Aaron Cresswell,1.7018,England
Dante,1.89,Brazil
Junior Fernandes,1.84,Chile
Zat Knight,1.9812,England
Nedum Onuoha,1.8796,England
Jores Okore,1.83,Denmark
Allan Nyom,1.88,Cameroon
Igor Semshov,1.7,Russia
Franco Zuculini,1.75,Argentina
Matt Miazga,1.9304,United States
Martin Olsson,1.77,Sweden
Luciano Narsingh,1.78,Netherlands
Emanuel Cecchini,1.79,
Jens Odgaard,1.88,Denmark
Vedad Ibisevic,1.88,Bosnia and Herzegovina
Daniel Caligiuri,1.82,
Nicolai Müller,1.73,Germany
Bruno Henrique,2.13,Brazil
Júnior Caiçara,1.72,
Anthony Ujah,1.8,Nigeria
Anthony Modeste,1.87,France
Albin Ekdal,1.86,Sweden
Yoric Ravet,1.78,France
Ludwig Augustinsson,1.81,Sweden
Bastian Oczipka,1.84,Germany
Andreas Poulsen,1.85,Denmark
Yuya Osako,1.82,Japan
Genki Haraguchi,1.79,Japan
Roland Sallai,1.8,Hungary
Woo-yeong Jeong,1.79,South Korea
Ljubomir Fejsa,1.85,Serbia
Danilo Pereira,1.88,Portugal
Rodrigo Battaglia,1.87,Argentina
Bruno Gaspar,1.76,Angola
Abdoulay Diaby,1.73,Mali
Fahid Ben Khalfallah,1.72,Tunisia
Abdelaziz Barrada,1.79,Morocco
Marçal,1.78,
Kalifa Coulibaly,1.97,Mali
Denis Bouanga,1.8,Gabon
Alexander Djiku,1.82,
Mame Diouf,1.85,Senegal
Shaun Wright-Phillips,1.651,England
Cameron Jerome,1.8542,England
John O'Shea,1.91,Republic of Ireland
David N'Gog,1.9,France
Alan Hutton,1.85,Scotland
Bryan Oviedo,1.72,Costa Rica
Markus Suttner,,Austria
David Button,1.905,England
Jota,1.78,Portugal
Zvjezdan Misimovic,1.79,Bosnia and Herzegovina
Jonathan Legear,1.79,Belgium
Elmir Nabiullin,1.74,Russia
Kristoffer Olsson,1.78,Sweden
Manu del Moral,1.85,Spain
Diego Buonanotte,1.61,Argentina
Pape Diakhaté,1.84,Senegal
Guilherme,1.95,Russia
Bernardo Espinosa,1.92,
Sergi Gómez,1.85,Catalonia
Modibo Sagnan,1.87,
Alberto Zapater,1.8,Spain
Marco Marchionni,1.73,Italy
Reginaldo,1.75,
Eduardo,1.72,Brazil
Barreto,1.82,Paraguay
Gaetano D'Agostino,1.82,Italy
Marco Storari,1.87,Italy
José Ángel,1.71,Spain
Yuto Nagatomo,1.7,Japan
Zé Love,1.83,
Andrea Lazzari,1.84,Italy
Federico Balzaretti,1.78,Italy
Ante Rebic,1.85,Croatia
Marco Parolo,1.86,Italy
Federico Bonazzoli,1.83,Italy
Panagiotis Kone,1.82,Greece
Artur Ionita,1.86,Moldova
Kevin Lasagna,1.81,Italy
Stipe Perica,1.93,Croatia
Dario Del Fabro,1.8,Italy
Riccardo Marchizza,1.87,Italy
Giuseppe Pezzella,1.91,Italy
Mattias Svanberg,1.85,Sweden
Nicolò Zaniolo,1.9,Italy
Lucien Agoume,1.85,France
Alex Ferrari,1.91,Italy
Fabio Depaoli,1.82,Italy
Koffi Djidji,1.84,Ivory Coast
Jardel,1.88,Brazil
Jack Stacey,1.8,
Oscar Benítez,1.83,
Mohamed Diamé,1.84,Senegal
Michael Dawson,1.88,England
Dmitri Skopintsev,1.76,Russia
Massimo Maccarone,1.8,Italy
Ali Al-Habsi,1.94,Oman
Lee Tomlin,1.8034,England C
Aritz Aduriz,1.81,Basque Country
Pierluigi Gollini,1.94,Italy
Cheik Tioté,1.8,Ivory Coast
Ragnar Sigurdsson,1.87,Iceland
Juanfran,1.81,Spain
Lucas Barrios,1.87,Paraguay
Raúl Bobadilla,1.81,Paraguay
Aron Jóhannsson,1.84,United States
Ondrej Duda,1.83,Slovakia
Winston Reid,1.91,New Zealand
Carles Gil,1.7,Spain
Edgaras Cesnauskis,1.82,Lithuania
Joaquín,1.79,Spain
Federico Rodríguez,1.85,Uruguay
Nenad Tomović,1.84,Serbia
Ezequiel Ponce,1.81,Argentina
Fraizer Campbell,1.72,England
Graham Dorrans,1.79,Scotland
David Marshall,1.905,Scotland
Valerio Verre,1.81,Italy
José Angulo,1.81,
Zé Roberto,1.76,Brazil
Igor de Camargo,1.87,Belgium
Ivo Ilicevic,1.74,Croatia
Vieirinha,1.72,Portugal
Chinedu Obasi,1.88,Nigeria
Milan Badelj,1.86,Croatia
Petr Jiracek,1.8,Czech Republic
David Abraham,1.87,Argentina
Vladimir Darida,1.71,Czech Republic
Valentin Stocker,1.78,Switzerland
Nico Elvedi,1.89,Switzerland
Fabian Schär,1.88,Switzerland
Julian Baumgartlinger,1.83,Austria
Coke,1.77,Spain
Bobby Wood,,
Robin Koch,1.9,Germany
Pascal Stenzel,1.8,Germany
Anastasios Donis,1.78,Greece
Ron-Robert Zieler,1.88,Germany
Daniel Didavi,1.79,Germany
Dejan Joveljic,1.8,Serbia
Nana Ampomah,1.75,Ghana
Carlos Gruezo,1.71,Ecuador
Birger Verstraete,1.71,Belgium
Nicolás Lodeiro,1.7,Uruguay
Orlando Engelaar,1.96,Netherlands
Kolbeinn Sigthórsson,1.86,Iceland
Niklas Moisander,1.83,Finland
Sofyan Amrabat,1.83,Morocco
Sam Larsson,1.79,Sweden
Nicolás Tagliafico,1.72,Argentina
Éder Luís,1.69,
Lima,1.78,
Valentín Viola,1.8,
João Pedro,1.82,
Chiquinho,1.75,
Michaël Ciani,1.89,France
Mathieu Coutadeur,1.71,France
Rod Fanni,1.86,France
Onyekachi Apam,1.77,Nigeria
Julien Féret,1.87,Brittany
Sadio Diallo,1.82,Guinea
Romain Hamouma,1.77,
Nicolas Isimat-Mirin,1.89,France
Yohan Mollo,1.75,France
Corentin Jean,1.7,France
Baptiste Guillaume,1.89,Belgium
Bryan Dabo,1.87,Burkina Faso
Enzo Crivelli,1.84,France
Youssouf Sabaly,1.74,Senegal
Kenny Tete,1.8,Netherlands
Pierre Lees Melou,1.85,
Saman Ghoddos,1.77,Iran
Sory Kaba,1.91,Guinea
Lucas Evangelista,1.83,Brazil
Arbër Zeneli,1.76,Kosovo
Ghislain Konan,1.78,Ivory Coast
Clément Grenier,1.87,France
Matz Sels,1.88,Belgium
Lebo Mothiba,1.81,South Africa
Baptiste Reynet,1.85,
Lamine Fomba,1.75,France
Hichem Boudaoui,,
Jonas Martin,1.83,France
Edouard Mendy,1.98,Senegal
Gabriel Obertan,1.8542,France
Damien Duff,1.77,Republic of Ireland
Gaël Givet,1.81,France
Stephen Hunt,1.72,Republic of Ireland
Wellington Silva,1.73,Brazil
Ronnie Stam,1.75,
Paul Konchesky,1.78,England
Mauro Formica,1.75,Argentina
Curtis Davies,1.8796,England
Oussama Assaidi,1.72,Morocco
Emmanuel Mayuka,1.78,Zambia
Samba Diakité,1.86,Mali
Joel Robles,1.95,Spain
David Ospina,1.83,Colombia
Nathan,1.905,
Shani Tarashaj,1.76,Switzerland
Takuma Asano,1.73,Japan
Jack Harrison,1.75,England
Martin Dubravka,1.9,Slovakia
Fabián Balbuena,1.88,Paraguay
Léo Bonatini,1.85,Brazil
Greg Cunningham,1.83,Republic of Ireland
Alex Smithies,1.85,England
Maxime Le Marchand,1.85,
Maicón,1.84,Brazil
Ibson,1.77,
Dmitri Kombarov,1.82,Russia
Kirill Kombarov,1.82,Russia-2
Nelson Valdez,1.78,Paraguay
Andrey Eshchenko,1.76,Russia
Ibrahima Baldé,1.9,Senegal
Vladislav Ignatjev,,
Ilia Maksimov,,
Gonzalo Bueno,1.74,Uruguay Olympic
Serdar Tasci,1.86,Germany
Odil Akhmedov,1.82,Uzbekistan
Stanislav Kritsyuk,1.92,Russia
Daler Kuzyaev,1.82,Russia
Ivan Oblyakov,1.75,Russia
Arnór Sigurdsson,1.77,Iceland
Egor Sorokin,1.89,Russia
Reziuan Mirzov,1.75,
Jordan Larsson,1.75,Sweden
Álvaro Arbeloa,1.84,Spain
Juan Forlín,1.8,
Gabriel Silva,1.79,Brazil
Kike Sola,1.85,Basque Country
Douglas,1.72,Brazil
Augusto Fernández,1.78,Argentina
Álvaro González,1.83,Spain
Mehdi Carcela-González,1.76,Morocco
Michael Santos,1.74,Uruguay
Maximiliano Gómez,1.86,Uruguay
Cristian Tello,1.78,Catalonia
Ibai Gómez,1.79,Basque Country
John Guidetti,1.85,Sweden
Iván Alejo,1.86,Spain
Sergio Álvarez,1.79,
Álvaro García,,
Marc Cucurella,1.72,Catalonia
Edu Expósito,1.79,
Sergio León,1.78,
Pablo Fontanello,1.91,
Pablo Barrientos,1.76,Argentina
Leandro Caruso,1.84,
Dídac Vilà,1.85,Catalonia
Marco Rossi,,
Richmond Boakye,1.86,Ghana
Giannis Fetfatzidis,1.68,Greece
Nicolás López,1.75,Uruguay
Henrique,1.86,Brazil
Pablo Armero,1.72,Colombia
Rodrigo Aguirre,1.69,Uruguay
Federico Viviani,,
Samir,,
Paul-José Mpoku,1.79,DR Congo
Davide Brivio,1.85,Italy
Jordan Lukaku,1.8,Belgium
Gian Marco Ferrari,1.89,
José Luis Palomino,1.88,
Edoardo Goldaniga,1.93,Italy
Arkadiusz Reca,1.87,Poland
Roger Ibañez,1.86,Brazil
Sebastian Walukiewicz,1.88,Poland
Ivan Radovanovic,1.86,Serbia
Daouda Peeters,1.85,Belgium
Antonio Mirante,1.93,
Juan Musso,1.91,Argentina
Pawel Jaroszynski,1.84,Poland
Cristian Molinaro,1.82,Italy
Steven Zuber,1.82,Switzerland
Salvatore Sirigu,1.92,Italy
Pontus Dahlberg,1.94,Sweden
Scott Malone,1.8796,England
Joe Hart,1.9558,England
Matt Clarke,1.85,
Ben Osborn,1.7,England
Jeremie Boga,1.72,Ivory Coast
Ryan Bennett,1.88,England
Christian Fuchs,1.87,Austria
Philipp Max,1.78,Germany Olympic
Mike van der Hoorn,1.9,Netherlands
Nabil Ghilas,1.83,Algeria
Moussa Marega,1.86,Mali
Idrissa Doumbia,1.87,Ivory Coast
Umut Bulut,1.84,Turkey
Radoslav Kovac,1.9,Czech Republic
Ron Vlaar,1.89,Netherlands
Jack Butland,1.96,England
Adrian Mariappa,1.8034,Jamaica
George Boyd,1.86,Scotland
Zeki Fryers,1.83,England
Olarenwaju Kayode,1.74,Nigeria
Marek Suchy,1.83,Czech Republic
Lorenzo Ariaudo,1.9,Italy
Nicola Leali,1.95,Italy
Alexis Rolín,1.86,Uruguay Olympic
Giancarlo González,1.86,Costa Rica
Ladislav Krejci,1.78,Czech Republic
Ricardo Centurión,1.74,Argentina
David Hancko,1.88,Slovakia
Danilo D'Ambrosio,1.8,Italy
Jeffren,1.76,Venezuela
Jamie O'Hara,1.8034,England
Shay Given,1.85,Republic of Ireland
Matthew Lowton,1.8,
Maicon,1.84,Brazil
Junior Hoilett,1.73,Canada
Andrea Dossena,1.8034,Italy
Marco Motta,1.86,Italy
Michael Bradley,1.8542,United States
Jaromir Zmrhal,1.89,Czech Republic
Gino Peruzzi,1.76,Argentina
Thomas Kahlenberg,1.83,Denmark
Marco Fabián,1.71,Mexico
Mateja Kezman,1.81,Serbia and Montenegro
Mauro Boselli,1.81,Argentina
Ivo Pinto,1.84,Portugal
João Pereira,1.72,Portugal
Emiliano Moretti,1.87,Italy
Ante Vukusic,1.77,Croatia
Ferdinando Del Sole,1.8,
Szymon Zurkowski,1.85,Poland
Julian Chabot,1.95,Germany
Luis Manuel Orejuela,1.79,Colombia
Liam Bridcutt,1.7526,Scotland
Ignacio Scocco,1.72,Argentina
Wayne Hennessey,1.98,Wales
Matías Fernández,1.78,Chile
Juan Arango,1.8,Venezuela
Fabian Frei,1.83,Switzerland
Marc Wilson,1.88,Republic of Ireland
Marvin Sordell,1.78,Great Britain
Erik Pieters,1.83,Netherlands
Brice Dja Djédjé,1.7,Ivory Coast
Brad Smith,1.78,Australia
Vladislav Kulik,1.8,Russia-2
Georgi Milanov,1.84,Bulgaria
Sebastián Fernández,1.67,Uruguay
Gonzalo Melero,1.83,Spain
Andrea Rossi,1.77,
Claudio Spinelli,1.8,
Kléber,,
Georg Niedermeier,1.9,Germany
William Kvist,1.85,Denmark
Artjoms Rudnevs,1.83,Latvia
Mohammed Abdellaoue,1.82,Norway
Simon Zoller,1.79,
Sven Ulreich,1.92,Germany
Roman Bürki,1.88,Switzerland
Pavel Kaderabek,1.82,Czech Republic
Oliver Sorg,1.75,Germany
Mitchell Langerak,1.93,Australia
Florian Kainz,1.75,Austria
Pablo Insua,1.87,Spain
Julian Pollersbeck,1.95,Germany
Joshua Brenet,1.81,Netherlands
Lucas Torró,1.88,Spain
Jean-Paul Boëtius,1.78,Netherlands
João Victor,1.78,
Marco Friedl,1.87,Austria
Sekou Cissé,1.84,Ivory Coast
Emir Bajrami,1.8,Sweden
Bilal Basacikoglu,1.79,Turkey
Jens Toornstra,1.78,Netherlands
Marko Vejinović,1.86,Netherlands
Nicolai Jörgensen,1.94,Denmark
Diego Capel,1.73,Spain
Bruno Paulista,1.9,
Filip Krovinovic,1.77,Croatia
Germán Conti,1.83,
Galeno,1.79,
Alexander Tettey,1.81,Norway
Paulo Machado,1.74,Portugal
Gelson Fernandes,1.8,Switzerland
Nicolas N'Koulou,1.84,Cameroon
Jonathan Pitroipa,1.76,Burkina Faso
Anthony Mounier,1.74,France
Lucas Orbán,1.84,Argentina
Isaac Kiese Thelin,1.89,Sweden
Farès Bahlouli,1.81,France
Moussa Konaté,1.8,Senegal
Edgar Ié,1.8,Portugal
Racine Coly,1.85,Senegal
Benjamin Bourigeaud,1.78,France
Toma Basic,1.9,Croatia
Thomas Foket,1.77,Belgium
Sada Thioub,1.79,Senegal
Mounir Chouiar,1.78,France
Efthymios Koulouris,1.84,Greece
Hérita Ilunga,1.8,DR Congo
Dean Whitehead,1.8034,
Seyi Olofinjana,1.9304,Nigeria
Vegard Forren,1.86,Norway
Michael Kightly,1.7526,England
Joe Ledley,1.8288,Wales
Jermain Defoe,1.71,England
Renan Bressan,1.82,Belarus
Carlos Zambrano,1.85,Peru
Aleksandr Selikhov,1.9,Russia
Robert Mak,1.8,Slovakia
Andrey Lunev,1.89,Russia
Ivan Obradovic,1.81,Serbia
José Antonio Reyes,1.75,Andalusia
Emiliano Insúa,1.8,Argentina
Diego López,1.96,Galicia
Fernando Gago,1.78,Argentina
Vinícius Araújo,1.76,Brazil Olympic
Marco Asensio,1.82,Spain
Mariano,1.77,
Felipe Gutiérrez,1.71,Chile
Paulo Oliveira,1.87,Portugal
Jozabed Sánchez,1.8,
Gabriel Fernández,,
Daniele Mannini,1.83,
Boško Janković,1.83,Serbia
Mario Bolatti,1.9,Argentina
Michele Paolucci,1.82,Italy
Fabián Orellana,1.68,Chile
Francesco Della Rocca,1.82,Italy
Andrea Mantovani,1.85,Italy
Nigel de Jong,1.74,Netherlands
Bartosz Salamon,1.96,Poland
Marquinho,1.83,Brazil
Rodney Strasser,1.81,Sierra Leone
Edenilson,1.75,
Andrés Schetino,1.83,Uruguay
Luca Mazzitelli,1.87,Italy
Iván Piris,1.72,Paraguay
Rafael Tolói,1.85,Brazil
Ibrahima Mbaye,1.88,Senegal
Davide Astori,1.88,Italy
Timo Letschert,1.88,Netherlands
Seko Fofana,1.85,Ivory Coast
Valentin Eysseric,1.81,France
Kiril Despodov,1.79,Bulgaria
Christian Nörgaard,1.85,Denmark
Enrico Brignola,1.68,Italy
Lukasz Teodorczyk,1.85,Poland
Pawel Dawidowicz,1.89,Poland
Alessandro Murgia,1.85,Italy
Leandro Bacuna,1.87,Curaçao
Rasmus Jönsson,1.92,Sweden
Marco Torsiglieri,1.9,
Teófilo Gutiérrez,1.78,Colombia Olympic
David Goodwillie,1.7526,Scotland
Kortney Hause,,England
Omar El Kaddouri,1.87,Morocco
Alessandro Iacobucci,1.89,Italy  Serie B
Sebastián Prediger,1.84,Argentina
Jaime Valdés,1.75,Chile
Míchel,1.83,Spain
Jonathan Walters,1.83,Republic of Ireland
Radosav Petrovic,1.93,Serbia
Costel Pantilimon,2.03,Romania
Dan Burn,2.01,
Juan Insaurralde,1.87,Argentina
Ismail Aissati,1.74,Morocco
Magomed Ozdoev,1.84,Russia
Quique,1.82,Spain
Nico Pulzetti,1.77,
Fabián Monzón,1.79,Argentina
Tiago Casasola,1.88,Argentina
William Troost-Ekong,1.91,Nigeria
Ervin Zukanovic,1.9,Bosnia and Herzegovina
Leon Goretzka,1.89,Germany
André Bikey,1.82,Cameroon
Jelle Van Damme,1.94,Belgium
Wayne Routledge,1.7,England
Senad Lulic,1.83,Bosnia and Herzegovina
Manuel Coppola,1.72,
Mattia Sprocati,1.78,
Vaclav Kadlec,1.81,Czech Republic
Haris Seferovic,1.89,Switzerland
Steven Skrzybski,1.73,
Milan Bisevac,1.85,Serbia
Ole Selnaes,1.87,Norway
Aleksandar Tonev,1.78,Bulgaria
Percy Tau,1.75,South Africa
Rafal Murawski,1.75,Poland
Maciej Rybus,1.73,Poland
Petar Skuletic,1.93,Serbia
Mauricio Cuero,1.78,Colombia
Nano,,
Esteban Rolón,1.78,
Renan,1.73,Brazil
Juan Sánchez Miño,1.68,
Karol Linetty,1.76,Poland
Damir Ceter,1.88,Colombia
Senna Miangue,1.92,Belgium
Daniel Torres,,
Steve Morison,1.8796,Wales
Joe Bennett,1.78,England
Paulo Gazzaniga,1.96,Argentina
Ismail H'Maidat,1.85,Morocco
Will Buckley,1.8288,
Stanislav Manolev,1.85,Bulgaria
Cristian Borja,1.8,Colombia
Danny Collins,1.83,Wales
Tim Ream,1.86,United States
Ji-sung Park,1.75,South Korea
Lukas Jutkiewicz,1.8542,
Matías Rodríguez,,
Afriyie Acquah,1.79,Ghana
Kelvin,1.8542,England
Ciprian Deac,1.77,Romania
Jan Polak,1.81,Czech Republic
Patrick Ochs,1.79,Germany
Marco Russ,1.9,Germany
Fágner,1.68,Brazil
Eugen Polanski,1.83,Poland
Giulio Donati,1.79,Italy
Nils Petersen,1.88,Germany
Cédric Makiadi,1.77,DR Congo
Tarik Elyounoussi,1.72,Norway
Pepe Reina,1.88,Spain
Sinan Kurt,1.73,Germany
Cléber Reis,1.83,
Lars Stindl,1.81,Germany
Jeffrey Gouweleeuw,1.87,Netherlands
Ju-ho Park,1.74,South Korea
Milos Jojic,1.77,Serbia
Felix Klaus,1.8,Germany
Toni Sunjic,1.94,Bosnia and Herzegovina
Niklas Stark,1.9,Germany
Aaron Hunt,1.83,Germany
Gerrit Holtmann,1.83,Germany
Kevin Vogt,1.94,Germany
Sergio Gómez,1.71,Spain
Simon Terodde,1.92,
Vincent Koziello,1.68,France
João Queirós,1.92,Portugal
Mathew Leckie,1.81,Australia
Jiri Pavlenka,1.96,Czech Republic
Rick van Drongelen,1.88,Netherlands
Alexandru Maxim,1.79,Romania
Julian Korb,1.75,Germany
Lucas Ribeiro,1.9,Brazil
Gonçalo Paciência,1.84,Portugal
Felix Beijmo,1.85,Sweden
Fredrik Jensen,1.83,Finland
Dominique Heintz,1.9,Germany
Virgil Misidjan,1.73,Netherlands
Fiete Arp,1.84,Germany
Chang-hun Kwon,1.74,South Korea
Theo Janssen,1.8,Netherlands
Lerin Duarte,1.69,Netherlands
Orlando Sá,1.88,Portugal
Evaldo,1.83,
Josef,1.87,England
César Martins,1.85,Spain
Loris Benito,1.84,Switzerland
Bruno Viana,1.87,
Eduardo Henrique,1.84,Brazil
Jaroslav Plasil,1.83,Czech Republic
Bakary Sako,1.83,Mali
Anthony Le Tallec,1.85,France
Guirane N'Daw,1.9,Senegal
Damien Marcq,1.83,France
Diego Lugano,1.88,Uruguay
Stéphane Ruffier,1.87,France
Kévin Monnet-Paquet,1.83,France
Gil,1.93,Brazil
Modou Sougou,1.78,Senegal
Jérémy Pied,1.73,France
Thierry Doubai,1.79,Ivory Coast
Arnold Mvuemba,1.72,DR Congo
Ryan Mendes,1.75,Cape Verde
Paul Nardi,1.86,France
Kévin Bérigaud,1.76,
Dimitri Kevin Cavaré,1.85,Guadeloupe
Michael Frey,1.88,Switzerland
Mauro Arambarri,1.74,Uruguay
Youssef Aït Bennasser,1.84,Morocco
Gabriel Magalhães,1.9,Brazil
Léo Lacroix,1.97,Switzerland
Younousse Sankharé,1.84,Senegal
Thomas Touré,1.75,Ivory Coast
Vukasin Jovanovic,1.88,Serbia
Steve Mandanda,1.85,France
Jordi Mboula,1.83,Spain
Brandon,1.71,England
Jonathan Panzo,,England
Samuel Grandsir,1.7,France
Gaëtan Laborde,1.82,France
Youcef Atal,1.77,Algeria
Hyun-jun Suk,1.91,South Korea
Souleyman Doumbia,1.75,Ivory Coast
Stefan Mitrovic,1.89,Serbia
Gen Shoji,1.82,Japan
Casimir Ninga,1.84,Chad
Reinildo Mandava,1.78,Mozambique
Fabien Centonze,1.82,
Marcus Coco,1.84,France
Dario Maresic,1.83,Austria
Sotiris Kyrgiakos,1.93,Greece
Diego Arismendi,1.89,Uruguay
Ronald Zubar,1.8796,Guadeloupe
Steven Mouyokolo,1.9,
Matej Delac,1.9,Croatia
Somen Tchoyi,1.9,Cameroon
Peter Odemwingie,1.82,Nigeria Olympic Team
Marc-Antoine Fortuné,1.87,
Brek Shea,1.905,United States
Chris Gunter,1.8034,Wales
Charalampos Mavrias,1.77,Greece
Mats Möller Daehli,1.77,Norway
Rob Holding,1.89,England
Johann Berg Gudmundsson,1.79,Iceland
Sead Haksabanovic,1.74,Montenegro
Marvin Zeegelaar,1.86,
Pascal Groß,1.81,Germany
Jan Mlakar,1.83,Slovenia B
Gonçalo Cardoso,1.89,Portugal
Luis Aguiar,1.82,Uruguay
Ari,,
Tomislav Dujmovic,1.88,Croatia
Andrey Ivanov,,
Aleksandre Amisulashvili,1.87,Georgia
Pontus Wernbloom,1.87,Sweden
Kim Källström,1.85,Sweden
Xandão,1.93,
Kanu,1.97,Nigeria
Mohammed Rabiu,1.86,Ghana
Arseni Logashov,1.83,Russia
Igor Portnyagin,1.91,Russia
Roman Zobnin,1.85,Russia
Andrei Ivan,1.89,Romania
Aleksey Sutormin,,
Kaio,1.76,Brazil
Dmitri Poloz,1.83,Russia
Alberto Bueno,1.78,Spain
Sergio Sánchez,1.85,Spain
Hernán Bernardello,1.74,Argentina
Ibrahim Afellay,1.8,Netherlands
Gabi,1.8,Spain
Baba Diawara,,
Juan Ángel Albín,1.79,Uruguay
Diego Alves,1.87,Brazil
Alberto Botía,1.88,Spain
Álvaro Vázquez,1.82,Catalonia
Hélder Postiga,1.82,Portugal
Sergio Escudero,1.76,
Alexandre Pato,1.8,Brazil
Burgui,1.84,
Dimitrios Siovas,1.91,Greece
Amath Ndiaye,1.73,Senegal
Ander Capa,1.76,Basque Country
Patrick Twumasi,1.78,Ghana
David Soria,1.92,
Pedro Bigas,1.82,
Jonathan Silva,1.75,Argentina
Rubén García,1.71,Spain
Darwin Machís,1.7,Venezuela
Domingos Duarte,1.9,Portugal
Francesco Bolzoni,1.83,Italy
Maxi López,1.88,Argentina
Ciro Capuano,1.86,Italy
Giuseppe Bellusci,1.85,Italy
Giuseppe Sculli,1.78,Italy
György Garics,1.83,Austria
Neuton,1.82,
Andrea Masiello,1.85,Italy
Willians,1.75,Brazil
Bruno Uvini,1.87,Brazil
Marko Bakic,1.85,Montenegro
Gianluca Sansone,1.73,
Mario Santana,1.8,Argentina
Isaac Cofie,1.77,Ghana
Panagiotis Tachtsidis,1.93,Greece
Mariano Izco,1.8,
Andrea Consigli,1.89,Italy Olympics
Josef Martínez,1.72,Venezuela
Ricardo Kishna,1.87,Netherlands
Ryder Matos,1.83,Brazil
Andrija Balic,1.78,Croatia
Ewandro Costa,1.74,Brazil
Federico Ricci,1.81,Italy
Bram Nuytinck,1.91,Netherlands
Antonin Barak,1.9,Czech Republic
Federico Barba,1.85,Italy
Federico Ceccherini,1.87,
Mattia Zennaro,,Italy
Jerdy Schouten,1.85,
Mert Cetin,1.89,Turkey
Mattia Valoti,1.87,Italy
Igor,1.92,
Marcelo Hermes,1.77,
Hernâni,1.8,
Habib Bèye,1.82,Senegal
Gary O'Neil,1.73,England
Jordi Amat,1.84,Catalonia
Tudor Baluta,1.91,Romania
Mikel Rico,1.78,Basque Country
Antonio Rosati,1.95,
Santiago Vergini,1.91,Argentina
Sascha Riether,1.74,Germany
Christian Clemens,1.8,Germany
Todor Nedelev,1.77,Bulgaria
Johan Djourou,1.91,Switzerland
Frederik Rönnow,1.9,Denmark
Michael Lang,1.85,Switzerland
Andreas Bjelland,1.88,Denmark
Andrés Guardado,1.69,Mexico
Diego Rolán,1.76,Uruguay
Christopher Jullien,1.95,France
Arnaud Souquet,1.8,France
Niko Kranjcar,1.86,Croatia
Nenad Milijas,1.88,Serbia
Brad Jones,1.93,Australia
Karim El Ahmadi,1.79,Morocco
Maya Yoshida,1.89,Japan
Adam Matthews,1.78,Wales
Ethan Ampadu,1.83,Wales
Pavel Nekhajchik,,
Facundo Píriz,1.86,Uruguay
Diego Maurício,1.83,Brazil
Hördur Magnússon,1.9,Iceland
Xavi Torres,1.84,
Aïssa Mandi,1.84,Algeria
Rodrigo Ely,1.88,Brazil
Roberto Olabe,1.77,
Ignazio Abate,1.8,Italy
Francesco Valiani,1.73,
Cesare Natali,1.91,Italy
Adrián Ricchiuti,1.68,
Lucas Pratto,1.87,Argentina
Ignacio Lores,1.82,Uruguay
Egidio Arévalo Ríos,1.7,Uruguay
Marcello Trotta,1.88,Italy
Kevin Diks,1.82,Netherlands
Gianluca Di Chiara,1.85,Italy
Matthias Ostrzolek,1.78,Germany
Ryan Thomas,1.74,New Zealand
Josip Misic,1.87,Croatia
Danny Wilson,1.88,Scotland
David Wheater,1.96,England
Jaroslaw Jach,1.92,Poland
Bailey Peacock-Farrell,1.93,Northern Ireland
Manucho,1.87,Angola
Santos Borré,1.74,Colombia
Mattia Cassani,1.84,Italy
Justin Hoogma,1.9,
Simon Falette,1.85,Guinea
Daishawn Redan,1.76,Netherlands
Manuel da Costa,1.87,Morocco
Antonio Barragán,1.82,Galicia
Zanka,1.91,Denmark
Mikel San José,1.88,Basque Country
Chimy Ávila,1.72,
Simone Tiribocchi,1.8,
Rafal Wolski,1.79,Poland
Lorenzo Crisetig,1.84,Italy
Mohamed Fares,1.83,Algeria
Pedro Pereira,1.82,Portugal
Dominik Furman,1.81,Poland
Caio Rangel,1.72,Brazil
Maurício,1.85,
Tyler Adams,1.7526,United States
Airton,1.88,
Valeri Bojinov,1.78,Bulgaria
Lucas Tousart,1.85,France
Florent Mollet,1.74,
Benni McCarthy,1.83,South Africa
John Arne Riise,1.85,Norway
DeAndre Yedlin,1.7271999999999998,United States
Oleg Kuzmin,1.75,Russia
Otar Martsvaladze,1.76,Georgia
Alessandro Gazzi,1.83,Italy
José María Basanta,1.88,Argentina
Vanja Milinković-Savić,2.03,Serbia
Michu,1.85,Spain
Luis Fariña,1.76,
Alfa Semedo,1.89,
Stefano Celozzi,1.71,Germany
Lars Bender,1.85,Germany
Johan Audel,1.8,Martinique
Arne Friedrich,1.85,Germany
Alexandru Ionita,,
Michael Mancienne,1.8288,England
Felipe Lopes,1.86,
Itay Shechter,1.778,Israel
Peniel Mlapa,1.94,Togo
Emanuel Pogatetz,1.9,Austria
Edgar Prib,1.81,
Makoto Hasebe,1.8,Japan
Sidney Sam,1.74,Germany
Sebastian Jung,1.79,Germany
Konstantinos Stafylidis,1.78,Greece
Julian Weigl,1.86,Germany
